symbol,start_date,end_value,sharpe_ratio
FILUSDT,2023-12-31,915.5974102413184,-2.784525108638598
GRTUSDT,2024-01-01,790.3190013869626,-3.0406740812908795
MKRUSDT,2024-01-02,1064.6753955264594,2.1502965624689265
ENSUSDT,2024-01-03,1199.4089834515366,2.0713651310802463
TIAUSDT,2024-01-04,1070.2250631313132,1.5684406194912506
SUIUSDT,2024-01-05,1325.8620689655172,3.5407262598800298
LDOUSDT,2024-01-06,953.9929441949969,-1.0062618004049264
SHIBUSDT,2024-01-07,1027.5028506271378,0.7374709227342956
OMUSDT,2024-01-08,1712.3303834808257,5.213800158606004
BONKUSDT,2024-01-09,727.9076086956521,-3.5680176501864884
ENSUSDT,2024-01-10,1080.8591625883632,1.3317801122090642
XTZUSDT,2024-01-11,1000.418994413408,0.06650384075110295
RUNEUSDT,2024-01-12,1077.2907488986784,2.5448489329769
TIAUSDT,2024-01-13,1040.120572518059,1.1424450994730997
VETUSDT,2024-01-14,1058.4540249242168,2.9440622663052416
BNBUSDT,2024-01-15,1039.2156862745098,2.994990376635082
OMUSDT,2024-01-16,3365.4929577464786,5.882097825881651
RAYUSDT,2024-01-17,850.6695350241546,-1.8623047892016253
FETUSDT,2024-01-18,1207.138671875,2.837804058853931
TIAUSDT,2024-01-19,1066.704148366165,1.1835374463507846
FLOKIUSDT,2024-01-20,1070.5969249321677,1.7151211397406847
OMUSDT,2024-01-21,1572.1450304259636,3.6210846203073084
TIAUSDT,2024-01-22,1082.9804694125169,1.43914360698399
APTUSDT,2024-01-23,1033.063502006914,0.8633591236691229
MKRUSDT,2024-01-24,971.4333175130516,-1.0232914798510606
OMUSDT,2024-01-25,1559.97400259974,3.689632576876532
NEARUSDT,2024-01-26,1182.3095238095239,2.63570972779904
APTUSDT,2024-01-27,1110.238509480917,2.4306292391576747
RAYUSDT,2024-01-28,805.1572568272476,-2.954340521762884
SUIUSDT,2024-01-29,1026.2567121692437,0.8389549051072811
RUNEUSDT,2024-01-30,1202.9210357372137,3.4441653684643505
OMUSDT,2024-01-31,1646.5439017880972,4.237975189566393
LINKUSDT,2024-02-01,1002.080203332392,1.4261954844317757
ICPUSDT,2024-02-02,997.400357392588,0.12367886230673428
OMUSDT,2024-02-03,1515.6921086675293,4.066827300134711
OMUSDT,2024-02-04,1391.2876532920586,3.4250760676532774
ENSUSDT,2024-02-05,1206.3830845771145,2.7004079484579084
XMRUSDT,2024-02-06,1001.3276026743076,1.1934100204921927
STXUSDT,2024-02-07,1006.9402538314176,3.7005265978776145
OMUSDT,2024-02-08,1181.012658227848,4.595006614265993
BONKUSDT,2024-02-09,2122.7383676582767,4.665488063073917
IMXUSDT,2024-02-10,1280.0694065918094,3.6442155489114088
BCHUSDT,2024-02-11,1478.7260224393776,2.789675843407241
IMXUSDT,2024-02-12,1091.345050941232,3.550876952107151
ARUSDT,2024-02-13,1031.5074355408153,5.935914681086775
PEPEUSDT,2024-02-14,6228.749999999999,7.783603963366136
VETUSDT,2024-02-15,945.3245594467991,-0.5303433494814462
WLDUSDT,2024-02-16,1971.2238398544132,3.674567969477263
FILUSDT,2024-02-17,1004.3835171966256,1.5681436707823124
GRTUSDT,2024-02-18,1337.3457943925234,2.5679010444966845
HBARUSDT,2024-02-19,1026.9062784349408,0.6371303137885129
JASMYUSDT,2024-02-20,1135.6251682972804,2.745397108090189
JASMYUSDT,2024-02-21,1166.7127338175742,1.962171529634584
WLDUSDT,2024-02-22,1024.597992987547,0.6346847745361371
UNIUSDT,2024-02-23,1016.0662163289132,0.4979397773145598
THETAUSDT,2024-02-24,1205.0685975609756,4.720351952446164
ARUSDT,2024-02-25,1723.1455957900012,4.851801973651171
THETAUSDT,2024-02-26,1098.649393605292,3.2107824026660854
PYTHUSDT,2024-02-27,1148.2671174978868,2.4523048329425765
ARUSDT,2024-02-28,1194.4243638836203,2.726621244229621
BONKUSDT,2024-02-29,1127.646786870088,1.4766792548937768
FLOKIUSDT,2024-03-01,1774.6883468834687,3.781248973757804
BCHUSDT,2024-03-02,1139.7114054160902,2.646262887031027
FTMUSDT,2024-03-03,1098.5928961748632,1.6377114180944978
BONKUSDT,2024-03-04,753.3690099732424,-0.9948377184409588
STRKUSDT,2024-03-05,901.3780918727914,-0.8192790610635226
NEARUSDT,2024-03-06,1104.7650783072309,1.4946736293456029
JUPUSDT,2024-03-07,1400.4590163934427,3.907665584057043
FLOKIUSDT,2024-03-08,929.2374038949382,-0.7360458527550596
WLDUSDT,2024-03-09,849.6993385447985,-1.5338310119168859
GALAUSDT,2024-03-10,918.9261916965658,-1.7334891985091996
XRPUSDT,2024-03-11,953.6588778508465,-1.781942557795107
INJUSDT,2024-03-12,847.0276633313713,-3.4619193364125658
WIFUSDT,2024-03-13,960.0572425828972,0.603735747742735
OMUSDT,2024-03-14,1427.6576482011178,3.1302853722969974
SEIUSDT,2024-03-15,678.3744894170071,-4.041156524907011
RAYUSDT,2024-03-16,870.140131186643,-1.3091725741435016
OMUSDT,2024-03-17,1123.818621207668,1.4687722878038723
OMUSDT,2024-03-18,944.8043747471156,-0.3900703102778608
ETCUSDT,2024-03-19,970.3285198555956,-0.0018577144208106588
PEPEUSDT,2024-03-20,872.8432563791007,-1.2850779928497222
JASMYUSDT,2024-03-21,963.4965318439781,-0.7289186128004995
APTUSDT,2024-03-22,866.0519164266033,-1.8391065597918834
GALAUSDT,2024-03-23,1063.657008613939,1.056207649695812
ICPUSDT,2024-03-24,982.2654901208516,-0.43740671639726547
OMUSDT,2024-03-25,983.9960210715086,0.058061590695025915
IOTAUSDT,2024-03-26,896.6427189831444,-1.3266927989170298
BCHUSDT,2024-03-27,995.9099437148219,-0.10450453559305711
FLOKIUSDT,2024-03-28,1027.1463483033533,0.6611678277735565
LTCUSDT,2024-03-29,916.2533793232031,-2.405581861860046
JUPUSDT,2024-03-30,959.0206013734248,-0.09792873382442896
BCHUSDT,2024-03-31,857.7181698582078,-3.6892370937916574
IOTAUSDT,2024-04-01,989.7164225615456,-4.815003796907522
OPUSDT,2024-04-02,921.0906148867315,-0.37053228355740014
ENAUSDT,2024-04-03,837.3056057866183,-0.8428511713251301
ETCUSDT,2024-04-04,837.2604422604422,-2.0392628412442284
APTUSDT,2024-04-05,730.2218430034129,-3.505890090049683
AVAXUSDT,2024-04-06,786.1172085317871,-2.468268321138756
PEPEUSDT,2024-04-07,1034.7203274215553,0.7801236609916784
NEOUSDT,2024-04-08,801.5461943513644,-1.542813052650403
FTMUSDT,2024-04-09,797.0593552274781,-2.2300048228049123
UNIUSDT,2024-04-10,809.8916779502136,-2.593461873783652
UNIUSDT,2024-04-11,997.7056372011406,-4.23439166941663
DYDXUSDT,2024-04-12,874.9628982976867,-1.442099947318557
SANDUSDT,2024-04-13,991.4528023598822,0.004009619466591718
WIFUSDT,2024-04-14,972.7140445644833,0.13556052947153854
OMUSDT,2024-04-15,941.804696871828,-1.2232934207101478
TIAUSDT,2024-04-16,860.314465408805,-1.8500931408655443
WLDUSDT,2024-04-17,1026.9793253536454,0.6642703663560324
GALAUSDT,2024-04-18,1064.345416762872,1.2180844000413986
WIFUSDT,2024-04-19,923.0017433751746,-0.39487106115748805
BONKUSDT,2024-04-20,1006.3127001067237,2.813772056943926
BONKUSDT,2024-04-21,1507.8156996587031,3.9973061895705193
SEIUSDT,2024-04-22,870.4462020593941,-1.3178977684155642
HBARUSDT,2024-04-23,795.2853437094683,-2.9863787185437944
ALGOUSDT,2024-04-24,942.1029836381136,-1.0421442452595073
ARUSDT,2024-04-25,1138.5397864768684,1.600967612229164
LTCUSDT,2024-04-26,985.2274550246362,-0.3324858633126533
ENSUSDT,2024-04-27,1364.0914489311162,4.05935886736413
ARUSDT,2024-04-28,1018.3762829709746,0.5397673091728303
SEIUSDT,2024-04-29,998.1646872525732,-3.427788213639764
IMXUSDT,2024-04-30,1087.5616409610743,1.2819983913142357
OPUSDT,2024-05-01,939.5701689933873,-0.5931271738004464
IMXUSDT,2024-05-02,977.7414541508408,0.03485276140132333
OMUSDT,2024-05-03,1093.9555264879004,1.6287336966769819
FLOKIUSDT,2024-05-04,1303.0940503071995,2.8186984313459953
WLDUSDT,2024-05-05,888.6723359944464,-1.3942932586123464
ENAUSDT,2024-05-06,1089.8232044198894,1.3162358965514498
TIAUSDT,2024-05-07,1098.3421330517422,1.4233627769012094
RUNEUSDT,2024-05-08,970.4361737958909,-0.15483042098567554
ARUSDT,2024-05-09,960.6045767246322,-0.7363950435052482
THETAUSDT,2024-05-10,946.1337209302325,-0.6035698426117173
IMXUSDT,2024-05-11,853.5051951453769,-2.4442336252859715
RUNEUSDT,2024-05-12,860.1989804308502,-1.8403399506083833
FLOKIUSDT,2024-05-13,1005.366009589771,0.7629416561957207
PEPEUSDT,2024-05-14,1095.0731261425958,1.2071725214503692
IMXUSDT,2024-05-15,800.5759318423854,-3.340078958770637
LINKUSDT,2024-05-16,974.3327379433529,-0.9361898617465308
ARUSDT,2024-05-17,804.5355157118762,-4.531142517087345
BONKUSDT,2024-05-18,885.8457620953075,-0.5781436659022605
PYTHUSDT,2024-05-19,867.8944504896627,-0.9815612649225626
ENSUSDT,2024-05-20,1396.2958904109591,3.4691157887566852
ENSUSDT,2024-05-21,1191.8504672897195,2.212479051539484
WIFUSDT,2024-05-22,643.2366955237903,-3.9805774385528254
ENSUSDT,2024-05-23,1042.5116673737803,0.9938562228909809
UNIUSDT,2024-05-24,989.7823984526112,0.006232707377369181
UNIUSDT,2024-05-25,932.3640516559783,-1.1068847661402694
JASMYUSDT,2024-05-26,1117.2556213447635,1.4160216967658699
FLOKIUSDT,2024-05-27,821.8994636126415,-2.6676947806082185
TIAUSDT,2024-05-28,651.4874022589054,-5.47690563408704
WLDUSDT,2024-05-29,647.6434676434677,-7.407688959170851
ARUSDT,2024-05-30,684.7713671757667,-4.288236107535654
UNIUSDT,2024-05-31,969.8602673147024,0.09070799023654456
OMUSDT,2024-06-01,1066.9450101832992,1.326840568356778
PYTHUSDT,2024-06-02,817.0368608799049,-2.467235137363616
FLOKIUSDT,2024-06-03,821.8623633368279,-2.209722690983585
UNIUSDT,2024-06-04,752.7300017658484,-2.988465066505231
STXUSDT,2024-06-05,681.6743023740108,-4.580842009109903
INJUSDT,2024-06-06,781.549442896936,-2.4069677253416923
OPUSDT,2024-06-07,706.0097647581001,-4.703149072110387
SEIUSDT,2024-06-08,690.4321753515301,-4.799077391247765
OMUSDT,2024-06-09,1227.1962969960323,2.2291479112885746
BNBUSDT,2024-06-10,942.9816147082335,-2.6049400592322534
ARUSDT,2024-06-11,735.202221417361,-2.9168996843788744
INJUSDT,2024-06-12,869.3949044585988,-1.277834111200633
CRVUSDT,2024-06-13,1041.4585556741372,0.8014115365910118
ENSUSDT,2024-06-14,1152.1365536460753,1.5913704776410618
RAYUSDT,2024-06-15,1178.895437040495,2.1914402391699
JASMYUSDT,2024-06-16,1059.1852849043416,0.9294015896566057
SANDUSDT,2024-06-17,1027.2045935327892,0.6978047952507409
JUPUSDT,2024-06-18,1238.3865223941925,2.6179976389327786
FETUSDT,2024-06-19,993.1471747700394,0.32636256637484334
WLDUSDT,2024-06-20,879.240294511379,-0.6384520386830272
WIFUSDT,2024-06-21,1503.6129636129635,3.491991637600026
AVAXUSDT,2024-06-22,1206.758114374034,2.975616580640414
ENSUSDT,2024-06-23,1138.7785930082002,2.0221141103109384
AAVEUSDT,2024-06-24,1013.4599202834366,0.44641058163632374
STXUSDT,2024-06-25,1032.8852643419573,0.7247175069254921
FETUSDT,2024-06-26,799.4679633867278,-2.3410476593978347
RAYUSDT,2024-06-27,1341.7484536082475,3.1074635271653412
LDOUSDT,2024-06-28,942.8609341825902,-1.6410532802385982
JASMYUSDT,2024-06-29,1092.962437987243,1.2431813527729918
OMUSDT,2024-06-30,1398.266118674544,3.8303634504151938
BONKUSDT,2024-07-01,973.9568899153193,0.17659808044814387
TAOUSDT,2024-07-02,1171.6471571906354,2.5859587361179153
FTMUSDT,2024-07-03,842.3198380566802,-2.0169072644123567
SUIUSDT,2024-07-04,932.6153366583541,-0.7286177040017784
FILUSDT,2024-07-05,962.8749999999999,-0.286628239242973
JASMYUSDT,2024-07-06,788.0177993527509,-1.9947506519267595
STXUSDT,2024-07-07,993.2839313572543,0.24240982091807572
TIAUSDT,2024-07-08,775.8931246878642,-2.2043605439968474
SEIUSDT,2024-07-09,865.8335836587564,-1.1598172275957812
STXUSDT,2024-07-10,985.2442159383033,-0.023570086691419766
OMUSDT,2024-07-11,1019.055665070872,0.5785035059234753
MKRUSDT,2024-07-12,901.6620498614959,-3.5069671288172604
ICPUSDT,2024-07-13,950.5071352753863,-1.6472079547358482
JUPUSDT,2024-07-14,1009.597971749366,0.3706144463496678
WLDUSDT,2024-07-15,715.0533959846222,-2.5295964782699447
WLDUSDT,2024-07-16,649.1102305475506,-4.697026358136716
ICPUSDT,2024-07-17,921.0612480739599,-0.8434211130347381
WIFUSDT,2024-07-18,689.8703315148972,-2.8437233239226893
RAYUSDT,2024-07-19,1009.4302468055313,0.4357439024156918
RAYUSDT,2024-07-20,937.3696219035202,-0.306542440965321
AVAXUSDT,2024-07-21,763.2161578785076,-3.7533166650772083
ENAUSDT,2024-07-22,763.2505643340859,-2.483178403998198
ENSUSDT,2024-07-23,761.9463548830812,-2.8347702948188553
FLOWUSDT,2024-07-24,967.7880184331797,-0.2205382133423769
LDOUSDT,2024-07-25,851.8856767411302,-1.1889943111205485
FILUSDT,2024-07-26,998.9576617236191,-3.1563821927648448
STXUSDT,2024-07-27,996.9809376609994,-1.6404205999761783
BCHUSDT,2024-07-28,834.9244423123052,-2.5070536029509043
MKRUSDT,2024-07-29,731.1388789717957,-3.7983486063524095
THETAUSDT,2024-07-30,921.6894320632637,-0.886818043074161
SANDUSDT,2024-07-31,875.9902755267424,-1.7058432575203075
WIFUSDT,2024-08-01,977.5076452599388,-5.869529948991161
JUPUSDT,2024-08-02,839.2950420540061,-1.7839245993005155
OMUSDT,2024-08-03,992.6248123123124,-0.9761886530547085
TAOUSDT,2024-08-04,1089.8045602605862,1.2054178609913877
LINKUSDT,2024-08-05,1042.857142857143,0.8846972203461403
RENDERUSDT,2024-08-06,993.7525944375258,0.26964748513159725
XRPUSDT,2024-08-07,967.7627060439561,-1.784892957896447
TIAUSDT,2024-08-08,777.4341637010676,-2.4898595827585046
TONUSDT,2024-08-09,804.1571514423077,-3.043555024141452
APTUSDT,2024-08-10,1016.7731629392971,0.5625196305182153
WIFUSDT,2024-08-11,1017.7771047849789,0.5342322788856207
CRVUSDT,2024-08-12,977.8759586528843,-0.6810034946412064
IMXUSDT,2024-08-13,1021.0096153846154,0.5627538803420902
TONUSDT,2024-08-14,893.1056173200701,-1.427657414431236
APTUSDT,2024-08-15,986.4551083591332,-0.39414288386904206
UNIUSDT,2024-08-16,1026.3460346964066,0.6392588577154795
JASMYUSDT,2024-08-17,911.7441303306181,-1.6384213676782293
OMUSDT,2024-08-18,1159.1478930780904,2.116576199229833
FETUSDT,2024-08-19,1456.1742006615214,4.071370769101958
TRXUSDT,2024-08-20,988.3995037220842,-0.9272833465777494
UNIUSDT,2024-08-21,990.4915014164307,0.027717321566192086
FLOKIUSDT,2024-08-22,1036.321822296853,0.9724492454505039
SUIUSDT,2024-08-23,1264.5855918005323,5.370764642289726
TONUSDT,2024-08-24,957.1646447140381,-0.4947153586297851
ATOMUSDT,2024-08-25,986.2009168825992,-0.0678336668631298
WIFUSDT,2024-08-26,1135.4401805869072,1.83046956124947
ETHUSDT,2024-08-27,1099.0760533123425,2.7162930213717553
STXUSDT,2024-08-28,1219.2780916509732,3.403593308287305
FLOKIUSDT,2024-08-29,1220.0765462339252,4.130594143297364
GALAUSDT,2024-08-30,1208.3282674772038,3.4814336297744526
FETUSDT,2024-08-31,1321.950354609929,4.270857952550295
SANDUSDT,2024-09-01,1014.5842127479949,0.46621268768954194
UNIUSDT,2024-09-02,1112.7426229508196,2.1048421900015546
AAVEUSDT,2024-09-03,1011.2181663837011,1.9120105791861408
STRKUSDT,2024-09-04,988.2892768079802,0.1150007538462488
ENAUSDT,2024-09-05,1283.9567307692307,2.626000638256111
DOGEUSDT,2024-09-06,1143.570732763286,2.4882635534783506
STRKUSDT,2024-09-07,954.3811764705882,-0.3989650253969637
QNTUSDT,2024-09-08,974.2553191489362,-0.5325248235534983
OMUSDT,2024-09-09,1319.7560723514212,5.358863723704317
ICPUSDT,2024-09-10,942.1134078843329,-0.8390971872473356
WIFUSDT,2024-09-11,1641.5833333333335,5.473487017850231
WLDUSDT,2024-09-12,1318.3575197889181,3.2134287271867907
THETAUSDT,2024-09-13,1015.6943366951125,0.47914060193956154
TIAUSDT,2024-09-14,1273.3144891122279,2.5290244167395497
FTMUSDT,2024-09-15,1382.8381330685204,3.971584334190619
TAOUSDT,2024-09-16,1010.4361589869856,3.9186509980843764
IMXUSDT,2024-09-17,1091.5804806991987,1.503819745709382
FLOKIUSDT,2024-09-18,1115.749228395062,1.6084847681613053
APTUSDT,2024-09-19,1322.8951255539143,3.414579903763416
LDOUSDT,2024-09-20,1102.4203821656051,2.0740992714477957
APTUSDT,2024-09-21,1215.8374384236454,2.8212449842258
SUIUSDT,2024-09-22,1115.8602658602658,2.270921722312382
ARUSDT,2024-09-23,848.5808435852373,-2.1262736592690556
WIFUSDT,2024-09-24,1234.1150223103618,2.649942483450106
WLDUSDT,2024-09-25,977.2923667786845,-0.20730602423265382
SHIBUSDT,2024-09-26,967.1669299631384,-1.0779260443754306
BONKUSDT,2024-09-27,978.897502153316,-0.2986271737704797
PEPEUSDT,2024-09-28,932.0124666073018,-1.5914455960156424
SEIUSDT,2024-09-29,936.1673273523888,-1.5965094615220357
OPUSDT,2024-09-30,1002.7730616864742,0.18027105716547137
INJUSDT,2024-10-01,943.5816618911173,-0.7459129165429044
XRPUSDT,2024-10-02,1000.0,-0.024471704918898624
APTUSDT,2024-10-03,1034.1183431952666,0.7206398896233875
TAOUSDT,2024-10-04,903.3062142980784,-2.1729838524875595
WLDUSDT,2024-10-05,944.4328767123286,-0.2476159827881697
PEPEUSDT,2024-10-06,933.4443387250237,-1.6574293411296372
ATOMUSDT,2024-10-07,1021.6131206470457,0.7893387357920983
RAYUSDT,2024-10-08,1788.739789964994,6.582891745045043
OPUSDT,2024-10-09,1028.627450980392,1.1436363123673152
UNIUSDT,2024-10-10,1077.934997528423,1.6233557256697626
ENAUSDT,2024-10-11,1547.8887559808613,3.701870362595586
APTUSDT,2024-10-12,1184.002006018054,3.3450753045381223
TIAUSDT,2024-10-13,931.5047990889865,-0.4509495833479992
BCHUSDT,2024-10-14,1149.2,2.3108791425336332
LTCUSDT,2024-10-15,1140.4335098968495,2.7330914681086345
BONKUSDT,2024-10-16,1724.941908713693,4.054426056223647
RUNEUSDT,2024-10-17,1099.8853211009173,2.2218661029166835
SANDUSDT,2024-10-18,1171.4903846153848,1.7631553082902465
FLOKIUSDT,2024-10-19,1271.3365488354382,3.6642954640804355
DYDXUSDT,2024-10-20,1001.7766616966178,0.37638661438350723
ATOMUSDT,2024-10-21,1243.406411582213,2.7512767167044894
RUNEUSDT,2024-10-22,1026.531980084259,0.655408409938704
JUPUSDT,2024-10-23,1037.0985758168108,0.9798773321929689
PYTHUSDT,2024-10-24,1046.246753246753,1.276097133802485
ARUSDT,2024-10-25,1282.1518193224592,2.6757573372762686
QNTUSDT,2024-10-26,1431.4705882352941,3.4236877579253986
OMUSDT,2024-10-27,2204.2277207250672,3.976784798439695
DOGEUSDT,2024-10-28,1649.9337788212629,6.208924845558364
SUIUSDT,2024-10-29,1484.8929011468108,4.944865422428663
MKRUSDT,2024-10-30,1385.2538275584207,4.092313196237008
IMXUSDT,2024-10-31,1545.8319327731097,4.9871003216907965
IMXUSDT,2024-11-01,1638.9810640216413,5.843362481320338
RAYUSDT,2024-11-02,1204.0587219343695,2.5161272562413606
FLOKIUSDT,2024-11-03,1675.0812064965198,4.443110756044337
RUNEUSDT,2024-11-04,1005.6258351893096,3.1771458968637454
BONKUSDT,2024-11-05,1919.4619289340103,4.456026543482345
LDOUSDT,2024-11-06,1594.1622441243364,5.70269462643599
ENSUSDT,2024-11-07,1557.5491759702286,4.492971818367738
POLUSDT,2024-11-08,1384.019684019684,6.078195399286612
RAYUSDT,2024-11-09,925.6015311702514,-1.2812173897914652
SHIBUSDT,2024-11-10,1018.0163447251115,0.5267703192033986
STXUSDT,2024-11-11,1077.3775894538605,1.743574874269022
BONKUSDT,2024-11-12,1031.5508752735232,0.7015869520130953
PEPEUSDT,2024-11-13,1091.580188679245,1.7720146728410897
OMUSDT,2024-11-14,1602.2646219686162,3.573642760366265
ALGOUSDT,2024-11-15,1597.98087141339,4.679494678511599
QNTUSDT,2024-11-16,1265.983606557377,3.7870058743439454
RAYUSDT,2024-11-17,958.1936041486604,-0.9378480014663639
XTZUSDT,2024-11-18,1089.5013123359581,1.4369906974550328
KAIAUSDT,2024-11-19,1242.4611223799866,1.980592863302017
ADAUSDT,2024-11-20,1097.6969167394832,1.6868155456505924
OPUSDT,2024-11-21,947.235693501455,-2.3035924589425716
XLMUSDT,2024-11-22,985.7757529739305,-0.4667763086350083
JASMYUSDT,2024-11-23,1173.6121673003804,1.7567060272778654
SANDUSDT,2024-11-24,1091.704834605598,1.2480581715431285
ENSUSDT,2024-11-25,1243.2688262515776,2.3891701151378704
FTMUSDT,2024-11-26,935.5490786009779,-0.7547806520357517
ENSUSDT,2024-11-27,1003.4696228044918,0.30645331009659793
WLDUSDT,2024-11-28,942.2873279209321,-2.1851114481218774
ALGOUSDT,2024-11-29,908.5216572504708,-1.5050229951097491
THETAUSDT,2024-11-30,1029.1967213114754,0.6690333660962601
KAIAUSDT,2024-12-01,934.4259115593484,-1.6752206596093961
LINKUSDT,2024-12-02,966.7553191489361,-0.34358957573716503
TRXUSDT,2024-12-03,861.1390887290167,-2.134013414327346
CRVUSDT,2024-12-04,1024.5925305020023,0.6218803533697688
JASMYUSDT,2024-12-05,976.3354793805463,0.2824049713078228
DYDXUSDT,2024-12-06,935.9848321627096,-0.5278789916017144
PEPEUSDT,2024-12-07,1152.2885165508787,2.100803424103797
RUNEUSDT,2024-12-08,803.6909581646423,-2.351290736819364
TIAUSDT,2024-12-09,771.6636029411765,-3.0456471540294143
RAYUSDT,2024-12-10,969.3019913775404,-0.01346547682589148
SUIUSDT,2024-12-11,1073.8125773925349,1.8593387868603806
AAVEUSDT,2024-12-12,927.7048730267675,-1.42581751438113
JASMYUSDT,2024-12-13,963.1766998700737,0.13317877999442124
ENAUSDT,2024-12-14,924.8622704507513,-1.0634634683629183
FTMUSDT,2024-12-15,673.4386654912863,-3.035524997893548
RUNEUSDT,2024-12-16,681.8069486844018,-5.778390150903836
GALAUSDT,2024-12-17,855.9625366734372,-1.6986205104357401
WIFUSDT,2024-12-18,996.8445975032286,-5.624493002223133
MOVEUSDT,2024-12-19,1094.5490100219995,1.3910659120398894
MOVEUSDT,2024-12-20,912.006984188573,-0.6389236153781865
APTUSDT,2024-12-21,991.002132196162,-9.257947338992516e-05
ALGOUSDT,2024-12-22,1006.8266433973241,0.4869382348366311
AAVEUSDT,2024-12-23,904.100954554887,-4.269751743536522
PENGUUSDT,2024-12-24,982.2962146467362,0.24544030010547127
MOVEUSDT,2024-12-25,909.3999484934329,-3.5930717580759284
ENAUSDT,2024-12-26,1030.0184162062615,1.1694419873244315
DYDXUSDT,2024-12-27,918.1649765990638,-2.1183264910142454
CRVUSDT,2024-12-28,941.0364284300139,-3.1596138584386115
XTZUSDT,2024-12-29,936.2825278810408,-2.22576953879496
STXUSDT,2024-12-30,1017.6630434782608,0.9400152903126944
OMUSDT,2024-12-31,1040.8528990228015,2.1646690049299524
